sentiment,review_body,product_category
-1,"This top did nothing for me. it billowed in the front and was not flattering. for reference  i am 5""4  115 pounds  and small chested. i ordered the smallest size the top came in (cannot recall if it was an xs or 0). i promptly returned it.",Blouses
-1,I loved this shirt when it first arrived and i couldn't wait to wear it. after one day of wear  i went to hang the shirt back up and it was ripping on both sides of the middle back seem. this shirt was not tight on me at all. very disappointed.,Blouses
-1,Looks great on the picture but when it arrived it was a great disappointment  both the colors and style. the material seems great quality but it's stiff and scratchy  the style is very boxy  and as another reviewer said  just hung. i'm a brunette and the colors looked terrible on me. back it goes.,Blouses
-1,This top was way too short (i'm only 5'1) and way too wide. the cut of this top was so wide  it looked like a tent on me. i really wanted to love this top because the material and style (sleeves  ruffle) are beautiful  unfortunately there is something wrong with the cut. i've have several blouses made by one fine day  which fit nicely  for some reason this top did not. i ordered in my usual s size  even going to an xs would not work because the cut is wrong.,Blouses
-1,Purchased this in white specifically because i loved the back detail-- (i don't know why most designers overlook the back??). huge disappointment-- the back is totally plain  not at all like the picture of the white top on here and the fabric in the back isn't even the same material as the front. it's almost as if the back is made out of leftover lining from another garment. it was a very sad return! i usually love this brand  this was just a quality control oversight i guess.,Blouses
-1,Maeve is one of my favorite retailer designers. usually fall in love with a blouse  only to look at the tag and discover it's by maeve (go figure).  this top is just atrocious though. does nothing for girls with a larger chest. very boxy and unflattering. gorgeous colors though  and the sleeve concept is cute. however  where the sleeve meets the shirt looks cheap and thrown on. not impressed.,Blouses
-1,Why do designers keep making crop tops??!! i can't imagine this would be flattering on anyone  especially someone average height and well endowed on top. i looked like a football player. the pattern and fabric are gorgeous  so if you are like 4' tall and super tiny and can fit xxs this may work? i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top. such a weird cut. there is a cami underneath so if it rides up that will show but that is so 80s,Blouses
-1,Love the movement of the blouse and how it falls. great quality material.,Blouses
-1,This top was supposed to be 23 1/4 inches long in petite. it's actually 28 1/2 inches long.  it's also large in width. hard to believe it's an extra small petite.,Blouses
0,I had been eyeing this top for a while so i was so happy to see it go on sale! i was so excited that i went to my local retailer to try to purchase it right away. unfortunately this top did not fit me right. on the model it looks adorable  on me it was frumpy & ugly. the petite is sold out so i tried a regular medium (i'm usually in-between a medium & a large) & it fit me big & just didn't do anything to my figure. i agree with the other reviewers that the bow was too thin & flimsy & needed to be,Blouses
0,I love the pattern of this shirt but there is definitely a design flaw in the arm/armpits.,Blouses
0,I ordered my usual size and i think the length and the top (chest/arms) for great. however the bottom is more of a swing style than a straight or slight a-line as depicted in the stock photo. there is too much fabric in the stomach area and just not flattering.,Blouses
0,"Beautiful. got several compliments when wearing it. does not hold up with washes though. threads unraveling everywhere. i am thinking of returning it for this reason. fits true to size. i am 5'4"" 118 lbs  xs fit. i am smaller on top.",Blouses
0,The color of this top is lovely. however  i felt the quality was lacking for the price. the fabric is thin and the top i tried on in the store had some loose threads already. fit was tts for me.,Blouses
0,I bought this because i loved it online but in person there is another level to the shirt that i did notice in another picture. i didn't like the second level on me since i am a shorter person. just didn't fit my body quite right.,Blouses
0,Loved the color! loved the scallops! wish i loved it on me. the poplin fabric is very structured  which doesn't lend to a nice drape. the bottom hem was a little small for my curvy hips  so the top rode up a bit on me. looks lovely on a straighter figure  but wasn't amazing for me.,Blouses
0,"Got this for my daughter for christmas. she loves the ""boho peasant"" look. i thought the fabric would be white or at least cream color but it was closer to pale yellow. although the fabric quality and texture is lovely (more substantive than i expected)   she just couldn't like the top with the color being so off. disappointing as picture makes it much prettier.",Blouses
0,Liked the netting around the collar but the whole blouse was very baggy. order size down.,Blouses
1,Very cute on  fits well. versatile top  i think it will work well with a sweater or blazer for fall.,Blouses
1,I wear between a l and xl..i chose the xl which was the right choice..if you are a bit curvy in proportions  i could size up. the color is gorgeous...i just logged back on to order another if there were options  but alas  there are not. flattering arm cut! could be worn for work  or with jeans/ out to dinner. it's cute  you won't regret it! (as a side note  it is sheer...which you can see in the photo. needs a cami),Blouses
1,I was a bit unsure when ordering because of the cut of this blouse. i have a lean athletic torso but i am a 32dd. sometimes tops like this can make me look heavy or pregnant. love the fit though. it fits lovely and comfy. it goes well with jeans or cream colored pants and will be a nice addition to my spring wardrobe.,Blouses
1,This top is great to wear under a blazer when cool or alone on a warm day. i rated it as runs small only because if you are a little busty as i am  it is a little snug across the chest. otherwise fits great.,Blouses
1,This top is really pretty. i love the details on the back tail of the shirt. the colors in this shirt are really pretty more like a peachy pink to me. i will however line dry this shirt because of the different fabric on the tail of the shirt. i would not iron that portion of the shirt either. overall  i am completely in love with this shirt. it will be a staple in my closet.,Blouses
1,"Love this top! with swing/loose tops  i always size down. i'm 5'1""  115  34b  and took a 0. it fit very well  i tried a 2 on as well and i could see what the other reviewers were saying about the top part not laying flat. so size down if you can! i got white so i use a nude bandeau bra with it  works well!",Blouses
1,Im normally an xs and i bought size 2 and it fit great. very slimming and looks great with white capris.,Blouses
1,"I ordered a size 10 in the neutral motif and it fits perfectly and it looks great. i am 5'9"" 145lbs with 38"" bust. the sleeves are the perfect length. i couldn't be happier with this purchase.",Blouses
1,The color is a very dark mustard yellow  thin/light-weight material  and it has a pretty feminine drape. 0verall a nice twist on a classic plaid shirt. cute cuffs (complementary design). the top was baggier than the bottom though- i deducted a star for the tight fight on the hips. all photos show it unbuttoned or tucked in. i'm usually between a s/m  i recommend the size up for hip fit.,Blouses
-1,Such a great dress. fit is flattering. the small v cut in the front and beading around the neckline keep it from becoming a boring lbd. classy enough to wear to a funeral but can be dressed up with some killer shoes. thrilled with purchase!,Dresses
